CustomerID,Lookalikes
C0001,"[('C0195', 2.065831255881638), ('C0004', 3.3740088915117425), ('C0137', 4.394000000000119)]"
C0002,"[('C0076', 1.3635721469727715), ('C0071', 1.6072967298472796), ('C0198', 2.013181561608393)]"
C0003,"[('C0067', 2.0525925341165845), ('C0005', 3.4147071616757874), ('C0178', 4.1375000000000455)]"
C0004,"[('C0001', 3.3740088915117425), ('C0195', 3.9030333645056876), ('C0137', 4.137934267240132)]"
C0005,"[('C0178', 1.327123298717984), ('C0152', 2.1964662528707866), ('C0003', 3.4147071616757874)]"
C0006,"[('C0079', 5.997499999999945), ('C0115', 11.210523361011104), ('C0141', 12.088611593148336)]"
C0007,"[('C0023', 3.004534073695951), ('C0045', 4.012552752530087), ('C0013', 4.8355832436348445)]"
C0008,"[('C0088', 5.000722447806916), ('C0010', 6.399789234810819), ('C0047', 17.3452637592384)]"
C0009,"[('C0094', 7.160999745923103), ('C0049', 10.645593898155425), ('C0077', 19.73333333333335)]"
C0010,"[('C0088', 2.5185377205831383), ('C0008', 6.399789234810819), ('C0029', 17.079999999999984)]"
C0011,"[('C0012', 2.3979055486836724), ('C0125', 2.70186972298813), ('C0068', 3.718737184851863)]"
C0012,"[('C0011', 2.3979055486836724), ('C0165', 2.813204010597228), ('C0068', 3.659633098175917)]"
C0013,"[('C0023', 2.741064239171557), ('C0045', 3.0342857142857156), ('C0007', 4.8355832436348445)]"
C0014,"[('C0147', 12.000128600133928), ('C0009', 19.927285593153748), ('C0094', 27.084161538618858)]"
C0015,"[('C0150', 1.88679622641134), ('C0174', 3.020347662107794), ('C0069', 4.244055136305337)]"
C0016,"[('C0022', 1.3869105955323169), ('C0176', 2.990024600419053), ('C0048', 4.69600000000014)]"
C0017,"[('C0090', 3.220951995948447), ('C0190', 3.8272382013666686), ('C0081', 4.306723506461855)]"
C0018,"[('C0200', 4.650000000000091), ('C0163', 6.257092864190936), ('C0140', 12.660568707605693)]"
C0019,"[('C0172', 2.646666666666704), ('C0157', 10.962372512878384), ('C0043', 13.150108153336518)]"
C0020,"[('C0187', 4.00076042771871), ('C0158', 7.3592390911017675), ('C0110', 19.910000000000082)]"
